flow_duration,flow_packet_count,flow_bytes,flow_syn_ratio,flow_ack_ratio,flow_rst_ratio,flow_fin_ratio,flow_size_mean,flow_size_var,flow_interval_mean,flow_interval_var,host_port_entropy,host_dst_entropy,host_dst_diversity,host_syn_ratio,host_failed_flow_ratio,host_packet_rate,host_interval_mean,host_interval_var,host_packet_size_var,src_ip,dst_ip,src_port,dst_port,proto,timestamp,label,pcap_filename
0.0,2,82,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,192.168.1.5,8.8.8.8,54321,53,17,1785337496.888042,0,benign_traffic.pcap
0.19999980926513672,6,120,0.6666666666666666,0.6666666666666666,0.0,0.0,20.0,0.0,0.039999961853027344,0.002399995422365464,-0.0,-0.0,1.0,0.5,0.0,20.000019073504518,0.0666666030883789,0.008888871934686904,0.0,192.168.1.6,192.168.1.100,49152,80,6,1785337496.988042,0,benign_traffic.pcap
0.0,1,20,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,3.321928094887362,-0.0,1.0,1.0,1.0,2.2222222222222223,0.5,0.0,0.0,10.0.0.50,192.168.1.100,50000,20,6,1785337796.888042,1,tcp_syn_scan.pcap
0.0,1,41,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,192.168.1.5,8.8.8.8,54321,53,17,1785337796.888042,0,tcp_syn_scan.pcap
0.19999980926513672,3,60,0.6666666666666666,0.6666666666666666,0.0,0.0,20.0,0.0,0.09999990463256836,0.0,-0.0,-0.0,1.0,0.5,0.0,10.000009536752259,0.19999980926513672,0.0,0.0,192.168.1.6,192.168.1.100,49152,80,6,1785337796.988042,0,tcp_syn_scan.pcap
0.0,1,20,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,3.321928094887362,-0.0,1.0,1.0,1.0,2.2222222222222223,0.5,0.0,0.0,10.0.0.50,192.168.1.100,50001,21,6,1785337797.388042,1,tcp_syn_scan.pcap
0.0,1,20,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,3.321928094887362,-0.0,1.0,1.0,1.0,2.2222222222222223,0.5,0.0,0.0,10.0.0.50,192.168.1.100,50002,22,6,1785337797.888042,1,tcp_syn_scan.pcap
0.0,1,20,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,3.321928094887362,-0.0,1.0,1.0,1.0,2.2222222222222223,0.5,0.0,0.0,10.0.0.50,192.168.1.100,50003,23,6,1785337798.388042,1,tcp_syn_scan.pcap
0.0,1,20,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,3.321928094887362,-0.0,1.0,1.0,1.0,2.2222222222222223,0.5,0.0,0.0,10.0.0.50,192.168.1.100,50004,24,6,1785337798.888042,1,tcp_syn_scan.pcap
0.0,1,20,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,3.321928094887362,-0.0,1.0,1.0,1.0,2.2222222222222223,0.5,0.0,0.0,10.0.0.50,192.168.1.100,50005,25,6,1785337799.388042,1,tcp_syn_scan.pcap
